msg_id,duration,id,length,res
2,1005.765,1,157,False
3,2946.299,1,657,False
4,1990.5759999999998,1,1013,False
7,1009.539,2,86,False
8,1023.2840000000001,2,586,False
9,1044.329,2,996,False
12,1024.8200000000002,3,455,True
13,1041.78,3,955,True
14,1045.37,3,1010,True
26,1005.6650000000001,1,99,False
27,1026.149,1,599,False
28,1044.884,1,1013,False
32,1018.208,2,354,False
33,1034.886,2,854,False
34,1042.354,2,996,False
36,1015.6670000000001,3,211,False
37,1038.614,3,711,False
38,1048.012,3,1010,False
40,1009.4879999999999,4,30,False
41,1024.109,4,530,False
42,1044.9409999999998,4,1010,False
50,1009.4780000000001,1,198,False
51,1029.824,1,698,False
52,1044.9180000000001,1,1013,False
55,1020.9189999999999,2,339,False
56,1036.977,2,839,True
57,1042.594,2,996,True
60,1025.761,3,480,False
61,1041.034,3,980,False
62,1042.454,3,1010,False
64,1016.5820000000001,4,373,False
65,1039.442,4,873,False
66,1044.998,4,1010,False
74,1009.134,1,31,False
75,1026.989,1,531,False
76,1046.065,1,1013,False
98,1017.3589999999999,5,249,False
99,1030.8509999999999,5,749,True
100,1046.788,5,1013,True
103,1009.4620000000001,6,189,False
104,1033.259,6,689,False
105,1056.145,6,996,False
108,1019.193,7,366,False
109,1038.491,7,866,False
110,1045.665,7,1010,False
112,1007.1360000000001,8,32,False
113,1024.519,8,532,False
114,1045.2220000000002,8,1010,True
123,1019.668,1,428,True
124,1042.367,1,928,False
125,1045.2060000000001,1,1013,False
128,1015.039,2,212,True
129,1034.71,2,712,False
130,1052.5720000000001,2,996,False
132,1008.718,3,75,False
133,1025.051,3,575,False
134,1051.728,3,1010,False
137,1023.685,4,427,True
138,1041.074,4,927,False
139,1041.303,4,1010,False
147,1024.278,1,498,True
148,1042.841,1,998,False
149,1052.483,1,1013,False
152,1017.38,2,271,True
153,1034.2610000000002,2,771,False
154,1040.455,2,996,False
156,1006.165,3,132,False
157,1034.694,3,632,True
158,1042.8619999999999,3,1010,True
170,1014.2009999999999,9,241,True
171,1028.297,9,741,False
172,1053.75,9,1013,True
175,1008.58,10,2,False
176,1024.534,10,502,False
177,1041.709,10,996,False
180,1019.7529999999999,11,329,False
181,1033.831,11,829,False
182,1041.8639999999998,11,1010,False
184,1009.104,12,197,False
185,1035.122,12,697,False
186,1045.911,12,1010,False
195,1023.5730000000001,33,414,False
196,1038.725,33,914,True
197,1052.883,33,1013,True
200,1021.0630000000001,34,330,False
201,1033.289,34,830,True
202,1045.536,34,996,True
204,1007.8190000000001,35,3,False
205,1026.807,35,503,True
206,1043.869,35,1003,True
207,1047.2939999999999,35,1010,True
209,1021.849,36,478,False
210,1045.783,36,978,True
211,1047.944,36,1010,True
219,1017.857,13,458,False
220,1042.079,13,958,False
221,1049.07,13,1013,False
223,1005.927,14,124,False
224,1029.9689999999998,14,624,False
225,1041.846,14,996,False
228,1019.4270000000001,15,310,False
229,1033.5859999999998,15,810,False
230,1041.778,15,1010,False
232,1009.1360000000001,16,132,False
233,1034.193,16,632,False
234,1043.333,16,1010,True
242,1008.863,5,39,False
243,1024.207,5,539,True
244,1049.921,5,1013,True
248,1020.0340000000001,6,310,False
249,1035.077,6,810,False
250,1044.526,6,996,False
253,1027.5030000000002,7,489,False
254,1043.059,7,989,False
255,1044.178,7,1010,False
256,1007.773,8,52,False
257,1025.392,8,552,False
258,1046.684,8,1010,False
267,1018.5900000000001,13,436,False
268,1042.339,13,936,False
269,1048.3880000000001,13,1013,False
271,1006.0830000000001,14,111,False
272,1031.8700000000001,14,611,False
273,1044.385,14,996,False
276,1021.859,15,374,False
277,1036.6550000000002,15,874,False
278,1044.578,15,1010,False
280,1017.3270000000001,16,220,False
281,1035.437,16,720,False
282,1045.1580000000001,16,1010,False
291,1020.8140000000001,9,494,False
292,1042.5390000000002,9,994,False
293,1049.752,9,1013,False
296,1021.7400000000001,10,476,False
297,1045.739,10,976,False
298,1047.067,10,996,False
301,1021.4730000000001,11,438,False
302,1040.618,11,938,False
303,1045.8110000000001,11,1010,False
304,1007.887,12,24,False
305,1026.24,12,524,False
306,1047.055,12,1010,False
315,1018.246,25,435,False
316,1042.12,25,935,True
317,1047.848,25,1013,True
320,1021.661,26,440,False
321,1044.586,26,940,False
322,1049.383,26,996,False
324,1020.1899999999999,27,336,False
325,1050.821,27,836,False
326,1046.088,27,1010,False
328,1018.961,28,206,False
329,1037.7730000000001,28,706,False
330,1057.656,28,1010,False
338,1015.619,29,248,False
339,1038.9679999999998,29,748,True
340,1051.2859999999998,29,1013,False
343,1005.4620000000001,30,126,False
344,1036.128,30,626,False
345,1044.3819999999998,30,996,False
348,1029.18,31,425,False
349,1039.146,31,925,True
350,1050.209,31,1010,True
352,1012.9939999999999,32,33,False
353,1029.837,32,533,False
354,1048.952,32,1010,True
363,1015.681,21,391,False
364,1045.1770000000001,21,891,False
365,1055.152,21,1013,False
367,1014.173,22,70,False
368,1031.625,22,570,False
369,1045.346,22,996,False
372,1012.9010000000001,23,7,False
373,1020.521,23,507,False
374,1041.678,23,1007,False
375,1047.0980000000002,23,1010,False
377,1019.232,24,476,False
378,1049.499,24,976,False
379,1043.4399999999998,24,1010,False
387,1020.338,17,379,False
388,1038.654,17,879,False
389,1055.966,17,1013,False
392,1019.933,18,344,False
393,1034.2169999999999,18,844,False
394,1044.577,18,996,False
397,1015.9480000000001,19,322,False
398,1039.6049999999998,19,822,False
399,1049.56,19,1010,False
401,1020.381,20,356,False
402,1042.932,20,856,True
403,1048.178,20,1010,True
