id,duration_ms,pred,arr_len
1,0.057,False,157
1,2.3600000000000003,False,657
1,2.835,False,1013
2,0.025,False,86
2,1.5330000000000001,False,586
2,1.869,False,996
3,1.5250000000000001,False,455
3,1.893,True,955
3,1.539,True,1010
1,0.024,False,99
1,1.99,False,599
1,1.381,False,1013
2,1.427,False,354
2,1.189,False,854
2,1.568,False,996
3,1.3259999999999998,False,211
3,1.623,False,711
3,1.4929999999999999,False,1010
4,0.023,False,30
4,1.591,False,530
4,1.5410000000000001,False,1010
1,0.024,False,198
1,1.605,False,698
1,1.3259999999999998,False,1013
2,1.411,False,339
2,1.4989999999999999,False,839
2,1.529,False,996
3,1.917,False,480
3,1.517,False,980
3,2.174,False,1010
4,1.4400000000000002,False,373
4,1.583,False,873
4,1.595,False,1010
1,0.023,False,31
1,1.433,False,531
1,1.3010000000000002,False,1013
5,1.338,False,249
5,1.524,True,749
5,1.3470000000000002,True,1013
6,0.023,False,189
6,1.575,False,689
6,1.495,False,996
7,2.189,False,366
7,1.502,False,866
7,1.57,False,1010
8,0.022,False,32
8,1.414,False,532
8,1.577,False,1010
1,1.4580000000000002,False,428
1,1.645,False,928
1,1.3290000000000002,False,1013
2,1.328,False,212
2,1.5070000000000001,False,712
2,1.9949999999999999,False,996
3,0.027,False,75
3,3.0469999999999997,False,575
3,1.7409999999999999,False,1010
4,1.4289999999999998,False,427
4,1.494,False,927
4,1.881,False,1010
1,1.445,False,498
1,1.9020000000000001,False,998
1,1.327,False,1013
2,1.9120000000000001,False,271
2,1.504,False,771
2,1.485,False,996
3,0.023,False,132
3,1.567,True,632
3,1.488,True,1010
9,1.434,False,241
9,1.486,False,741
9,1.313,False,1013
10,0.023,False,2
10,1.468,False,502
10,1.492,False,996
11,1.4040000000000001,False,329
11,1.487,False,829
11,1.484,False,1010
12,0.023,False,197
12,1.4569999999999999,False,697
12,1.495,False,1010
33,1.51,False,414
33,1.519,True,914
33,1.322,True,1013
34,1.1789999999999998,False,330
34,1.503,True,830
34,1.582,True,996
35,0.022,False,3
35,2.709,False,503
35,1.537,True,1003
35,1.497,True,1010
36,1.529,False,478
36,1.487,True,978
36,1.524,True,1010
13,1.592,False,458
13,2.109,False,958
13,1.32,False,1013
14,0.023,False,124
14,1.474,False,624
14,1.565,False,996
15,1.4220000000000002,False,310
15,1.471,False,810
15,1.512,False,1010
16,0.023,False,132
16,1.46,True,632
16,1.5430000000000001,False,1010
5,0.025,False,39
5,1.4369999999999998,False,539
5,1.315,False,1013
6,1.371,False,310
6,1.456,False,810
6,1.6280000000000001,False,996
7,1.631,False,489
7,1.786,False,989
7,1.498,False,1010
8,0.022,False,52
8,2.706,False,552
8,1.2630000000000001,False,1010
13,1.467,False,436
13,1.526,False,936
13,2.2680000000000002,False,1013
14,0.023,False,111
14,1.416,False,611
14,1.497,False,996
15,1.707,False,374
15,5.005,False,874
15,1.501,False,1010
16,1.416,False,220
16,0.787,False,720
16,1.514,False,1010
9,1.4649999999999999,False,494
9,1.632,False,994
9,1.3259999999999998,False,1013
10,1.494,False,476
10,1.702,False,976
10,1.5839999999999999,False,996
11,1.8090000000000002,False,438
11,1.522,False,938
11,1.4829999999999999,False,1010
12,0.022,False,24
12,1.441,False,524
12,1.0219999999999998,False,1010
25,0.9940000000000001,False,435
25,1.508,False,935
25,1.313,False,1013
26,1.554,False,440
26,1.501,False,940
26,1.48,False,996
27,1.393,False,336
27,1.496,False,836
27,1.5050000000000001,False,1010
28,1.32,False,206
28,1.489,False,706
28,1.488,False,1010
29,1.33,False,248
29,1.477,False,748
29,1.35,False,1013
30,0.022,False,126
30,1.4289999999999998,False,626
30,1.495,False,996
31,1.408,False,425
31,1.506,True,925
31,1.522,True,1010
32,0.022,False,33
32,1.46,False,533
32,1.5399999999999998,True,1010
21,0.939,False,391
21,1.5859999999999999,False,891
21,1.2910000000000001,False,1013
22,0.023,False,70
22,1.38,False,570
22,1.451,False,996
23,0.022,False,7
23,1.433,False,507
23,1.511,False,1007
23,1.5050000000000001,False,1010
24,1.358,False,476
24,1.509,False,976
24,1.48,False,1010
17,1.405,False,379
17,1.48,False,879
17,1.745,False,1013
18,1.036,False,344
18,1.472,False,844
18,1.4749999999999999,False,996
19,1.38,False,322
19,1.449,False,822
19,1.627,False,1010
20,1.3860000000000001,False,356
20,1.598,False,856
20,1.583,False,1010
